mg_feature,n_metabolites,n_relationships,mean_importance,max_importance,mean_abs_corr,max_abs_corr
Pseudomonas sp. CC6-YY-74,1,1,0.0153142130817491,0.0153142130817491,0.5112724721811529,0.5112724721811529
Rhodopseudomonas palustris,1,1,0.021532155573368,0.021532155573368,0.5101047573908967,0.5101047573908967
Pseudomonas sp. s211(2017),1,1,0.0313456761959454,0.0313456761959454,0.5095134908503755,0.5095134908503755
Weeksella virosa,1,1,0.0110357492267143,0.0110357492267143,0.5093417690428563,0.5093417690428563
Gordonia iterans,1,1,0.0055365830367844,0.0055365830367844,0.5086563961342205,0.5086563961342205
Amycolatopsis japonica,1,1,0.017114708200097,0.017114708200097,0.5086367722835317,0.5086367722835317
Plantactinospora sp. KBS50,1,1,0.0161997900705943,0.0161997900705943,0.5059221705922993,0.5059221705922993
Pseudomonas sp. ATCC 13867,1,1,0.0051790567546967,0.0051790567546967,0.5047675641919385,0.5047675641919385
Pseudomonas mucidolens,1,1,0.0080798691938601,0.0080798691938601,0.5042818619124011,0.5042818619124011
Micromonospora rifamycinica,1,1,0.0061224971667701,0.0061224971667701,0.503220318977194,0.503220318977194
Methylosinus trichosporium,1,1,0.0091511262224038,0.0091511262224038,0.5009076402725594,0.5009076402725594
