mg_feature,n_metabolites,mean_importance,max_importance,mean_abs_corr
Microlunatus phosphovorus,1,0.020160524174571037,0.020160524174571037,0.5129034801567404
Hoeflea phototrophica,1,0.02012602612376213,0.02012602612376213,0.1765037266072037
Streptomyces nodosus,1,0.019768957048654556,0.019768957048654556,0.20259498454506605
Mycobacterium chimaera,1,0.01976490207016468,0.01976490207016468,0.45382858633417356
Clostridium beijerinckii,1,0.019737008244525775,0.019737008244525775,0.26458251070986827
Granulibacter bethesdensis,1,0.019715934991836548,0.019715934991836548,0.5849853445932854
Hymenobacter sp. sh-6,1,0.01969844475388527,0.01969844475388527,0.4949173653329403
Arthrobacter alpinus,1,0.019694238901138306,0.019694238901138306,0.3879201141322109
Acinetobacter sp. WCHAc010034,1,0.01956802952295135,0.01956802952295135,0.3141775413651008
Pseudomonas moraviensis,1,0.01956627425917437,0.01956627425917437,0.5132056755735671
Lachnoclostridium phytofermentans,1,0.01939667947590351,0.01939667947590351,0.22717986604284435
Acidovorax sp. 1608163,1,0.019181564450263977,0.019181564450263977,0.0829846198096961
Mesorhizobium sp. WSM1497,1,0.01871896628767853,0.01871896628767853,0.329092176716226
Rhodococcus sp. YL-1,1,0.01830822043120861,0.01830822043120861,0.48497684972111044
Bacteroides dorei,1,0.01824670284986496,0.01824670284986496,0.10302522262135598
Pseudomonas mosselii,1,0.017802299931645393,0.017802299931645393,0.5634087395669706
